code_name,SMILES
Anion_0001,CC(=O)[O-]
Anion_0002,CCCCCCCC/C=C\CCCCCCCC(=O)O
Anion_0003,CCCCCCCCCCCCCCCC(=O)[O-]
Anion_0004,CCCCCCCCCCCCCCCCCC(=O)[O-]
Anion_0005,CCCCC/C=C\C/C=C\CCCCCCC(=O)O
Anion_0006,O=C([O-])Cc1c[nH+]c2cccc[c-]12
Anion_0007,C=CC(=O)[O-]
Anion_0008,CCC=CCC=CCC=CCCCCCCCC(=O)[O-]
Anion_0009,O=C([O-])Cc1cccc2ccccc12
Anion_0010,CCCCCCCCCCCC(=O)[O-]
Anion_0011,CCCCCCCCCCCCCC(=O)[O-]
Anion_0012,CCCCCCCC(=O)[O-]
Anion_0013,CCCCCC(=O)[O-]
Anion_0014,C=C(C)C(=O)[O-]
Anion_0015,O=C([O-])Cc1ccccc1
Anion_0016,CCC(=O)[O-]
Anion_0017,O=C([O-])COc1ccc(Cl)cc1Cl
Anion_0018,O=C([O-])CS
Anion_0019,CCCC(CCC)C(=O)[O-]
Anion_0020,CCCCC(=O)[O-]
Anion_0021,CC(C)C(=O)[O-]
Anion_0022,CC(=O)CCC(=O)[O-]
Anion_0023,O=C([O-])CCS
Anion_0024,CC(C)CC(=O)[O-]
Anion_0025,CCCCCCC=CCCCCCCCC(=O)[O-]
Anion_0026,N#CCC(=O)[O-]
Anion_0027,O=CC(=O)[O-]
Anion_0028,O=C([O-])CCc1ccccc1
Anion_0029,CC(C)(C)C(=O)[O-]
Anion_0030,CCCCCCCCC(=O)[O-]
Anion_0031,CCCCCCC(=O)[O-]
Anion_0032,O=C([O-])CCCc1c[nH+]c2cccc[c-]12
Anion_0033,CC=CC(=O)[O-]
Anion_0034,O=C([O-])C1CCCCC1
Anion_0035,CCCCCCCCCCCCCCC(=O)[O-]
Anion_0036,O=C([O-])c1ccco1
Anion_0037,CN(C)CC(=O)[O-]
Anion_0038,O=C([O-])CCCc1ccccc1
Anion_0039,CC=CC=CC(=O)[O-]
Anion_0040,C#CC(=O)[O-]
Anion_0041,O=C([O-])C(=O)c1ccccc1
Anion_0042,COc1ccc(CC(=O)[O-])cc1
Anion_0043,O=C([O-])c1cccs1
Anion_0044,CCCCCCC/C=C/CCCCCC(=O)[O-]
